DATE,DJIA
11/4/2014,17383.84
11/5/2014,17484.53
11/6/2014,17554.47
11/7/2014,17573.93
11/10/2014,17613.74
11/11/2014,17614.9
11/12/2014,17612.2
11/13/2014,17652.79
11/14/2014,17634.74
11/17/2014,17647.75
11/18/2014,17687.82
11/19/2014,17685.73
11/20/2014,17719
11/21/2014,17810.06
11/24/2014,17817.9
11/25/2014,17814.94
11/26/2014,17827.75
11/27/2014,.
11/28/2014,17828.24
12/1/2014,17776.8
12/2/2014,17879.55
12/3/2014,17912.62
12/4/2014,17900.1
12/5/2014,17958.79
12/8/2014,17852.48
12/9/2014,17801.2
12/10/2014,17533.15
12/11/2014,17596.34
12/12/2014,17280.83
12/15/2014,17180.84
12/16/2014,17068.87
12/17/2014,17356.87
12/18/2014,17778.15
12/19/2014,17804.8
12/22/2014,17959.44
12/23/2014,18024.17
12/24/2014,18030.21
12/25/2014,.
12/26/2014,18053.71
12/29/2014,18038.23
12/30/2014,17983.07
12/31/2014,17823.07
1/1/2015,.
1/2/2015,17832.99
1/5/2015,17501.65
1/6/2015,17371.64
1/7/2015,17584.52
1/8/2015,17907.87
1/9/2015,17737.37
1/12/2015,17640.84
1/13/2015,17613.68
1/14/2015,17427.09
1/15/2015,17320.71
1/16/2015,17511.57
1/19/2015,.
1/20/2015,17515.23
1/21/2015,17554.28
1/22/2015,17813.98
1/23/2015,17672.6
1/26/2015,17678.7
1/27/2015,17387.21
1/28/2015,17191.37
1/29/2015,17416.85
1/30/2015,17164.95
2/2/2015,17361.04
2/3/2015,17666.4
2/4/2015,17673.02
2/5/2015,17884.88
2/6/2015,17824.29
2/9/2015,17729.21
2/10/2015,17868.76
2/11/2015,17862.14
2/12/2015,17972.38
2/13/2015,18019.35
2/16/2015,.
2/17/2015,18047.58
2/18/2015,18029.85
2/19/2015,17985.77
2/20/2015,18140.44
2/23/2015,18116.84
2/24/2015,18209.19
2/25/2015,18224.57
2/26/2015,18214.42
2/27/2015,18132.7
3/2/2015,18288.63
3/3/2015,18203.37
3/4/2015,18096.9
3/5/2015,18135.72
3/6/2015,17856.78
3/9/2015,17995.72
3/10/2015,17662.94
3/11/2015,17635.39
3/12/2015,17895.22
3/13/2015,17749.31
3/16/2015,17977.42
3/17/2015,17849.08
3/18/2015,18076.19
3/19/2015,17959.03
3/20/2015,18127.65
3/23/2015,18116.04
3/24/2015,18011.14
3/25/2015,17718.54
3/26/2015,17678.23
3/27/2015,17712.66
3/30/2015,17976.31
3/31/2015,17776.12
4/1/2015,17698.18
4/2/2015,17763.24
4/3/2015,.
4/6/2015,17880.85
4/7/2015,17875.42
4/8/2015,17902.51
4/9/2015,17958.73
4/10/2015,18057.65
4/13/2015,17977.04
4/14/2015,18036.7
4/15/2015,18112.61
4/16/2015,18105.77
4/17/2015,17826.3
4/20/2015,18034.93
4/21/2015,17949.59
4/22/2015,18038.27
4/23/2015,18058.69
4/24/2015,18080.14
4/27/2015,18037.97
4/28/2015,18110.14
4/29/2015,18035.53
4/30/2015,17840.52
5/1/2015,18024.06
5/4/2015,18070.4
5/5/2015,17928.2
5/6/2015,17841.98
5/7/2015,17924.06
5/8/2015,18191.11
5/11/2015,18105.17
5/12/2015,18068.23
5/13/2015,18060.49
5/14/2015,18252.24
5/15/2015,18272.56
5/18/2015,18298.88
5/19/2015,18312.39
5/20/2015,18285.4
5/21/2015,18285.74
5/22/2015,18232.02
5/25/2015,.
5/26/2015,18041.54
5/27/2015,18162.99
5/28/2015,18126.12
5/29/2015,18010.68
6/1/2015,18040.37
6/2/2015,18011.94
6/3/2015,18076.27
6/4/2015,17905.58
6/5/2015,17849.46
6/8/2015,17766.55
6/9/2015,17764.04
6/10/2015,18000.4
6/11/2015,18039.37
6/12/2015,17898.84
6/15/2015,17791.17
6/16/2015,17904.48
6/17/2015,17935.74
6/18/2015,18115.84
6/19/2015,18015.95
6/22/2015,18119.78
6/23/2015,18144.07
6/24/2015,17966.07
6/25/2015,17890.36
6/26/2015,17946.68
6/29/2015,17596.35
6/30/2015,17619.51
7/1/2015,17757.91
7/2/2015,17730.11
7/3/2015,.
7/6/2015,17683.58
7/7/2015,17776.91
7/8/2015,17515.42
7/9/2015,17548.62
7/10/2015,17760.41
7/13/2015,17977.68
7/14/2015,18053.58
7/15/2015,18050.17
7/16/2015,18120.25
7/17/2015,18086.45
7/20/2015,18100.41
7/21/2015,17919.29
7/22/2015,17851.04
7/23/2015,17731.92
7/24/2015,17568.53
7/27/2015,17440.59
7/28/2015,17630.27
7/29/2015,17751.39
7/30/2015,17745.98
7/31/2015,17689.86
8/3/2015,17598.2
8/4/2015,17550.69
8/5/2015,17540.47
8/6/2015,17419.75
8/7/2015,17373.38
8/10/2015,17615.17
8/11/2015,17402.84
8/12/2015,17402.51
8/13/2015,17408.25
8/14/2015,17477.4
8/17/2015,17545.18
8/18/2015,17511.34
8/19/2015,17348.73
8/20/2015,16990.69
8/21/2015,16459.75
8/24/2015,15871.35
8/25/2015,15666.44
8/26/2015,16285.51
8/27/2015,16654.77
8/28/2015,16643.01
8/31/2015,16528.03
9/1/2015,16058.35
9/2/2015,16351.38
9/3/2015,16374.76
9/4/2015,16102.38
9/7/2015,.
9/8/2015,16492.68
9/9/2015,16253.57
9/10/2015,16330.4
9/11/2015,16433.09
9/14/2015,16370.96
9/15/2015,16599.85
9/16/2015,16739.95
9/17/2015,16674.74
9/18/2015,16384.58
9/21/2015,16510.19
9/22/2015,16330.47
9/23/2015,16279.89
9/24/2015,16201.32
9/25/2015,16314.67
9/28/2015,16001.89
9/29/2015,16049.13
9/30/2015,16284.7
10/1/2015,16272.01
10/2/2015,16472.37
10/5/2015,16776.43
10/6/2015,16790.19
10/7/2015,16912.29
10/8/2015,17050.75
10/9/2015,17084.49
10/12/2015,17131.86
10/13/2015,17081.89
10/14/2015,16924.75
10/15/2015,17141.75
10/16/2015,17215.97
10/19/2015,17230.54
10/20/2015,17217.11
10/21/2015,17168.61
10/22/2015,17489.16
10/23/2015,17646.7
10/26/2015,17623.05
10/27/2015,17581.43
10/28/2015,17779.52
10/29/2015,17755.8
10/30/2015,17663.54
11/2/2015,17828.76
11/3/2015,17918.15
11/4/2015,17867.58
11/5/2015,17863.43
11/6/2015,17910.33
11/9/2015,17730.48
11/10/2015,17758.21
11/11/2015,17702.22
11/12/2015,17448.07
11/13/2015,17245.24
11/16/2015,17483.01
11/17/2015,17489.5
11/18/2015,17737.16
11/19/2015,17732.75
11/20/2015,17823.81
11/23/2015,17792.68
11/24/2015,17812.19
11/25/2015,17813.39
11/26/2015,.
11/27/2015,17798.49
11/30/2015,17719.92
12/1/2015,17888.35
12/2/2015,17729.68
12/3/2015,17477.67
12/4/2015,17847.63
12/7/2015,17730.51
12/8/2015,17568
12/9/2015,17492.3
12/10/2015,17574.75
12/11/2015,17265.21
12/14/2015,17368.5
12/15/2015,17524.91
12/16/2015,17749.09
12/17/2015,17495.84
12/18/2015,17128.55
12/21/2015,17251.62
12/22/2015,17417.27
12/23/2015,17602.61
12/24/2015,17552.17
12/25/2015,.
12/28/2015,17528.27
12/29/2015,17720.98
12/30/2015,17603.87
12/31/2015,17425.03
1/1/2016,.
1/4/2016,17148.94
1/5/2016,17158.66
1/6/2016,16906.51
1/7/2016,16514.1
1/8/2016,16346.45
1/11/2016,16398.57
1/12/2016,16516.22
1/13/2016,16151.41
1/14/2016,16379.05
1/15/2016,15988.08
1/18/2016,.
1/19/2016,16016.02
1/20/2016,15766.74
1/21/2016,15882.68
1/22/2016,16093.51
1/25/2016,15885.22
1/26/2016,16167.23
1/27/2016,15944.46
1/28/2016,16069.64
1/29/2016,16466.3
2/1/2016,16449.18
2/2/2016,16153.54
2/3/2016,16336.66
2/4/2016,16416.58
2/5/2016,16204.97
2/8/2016,16027.05
2/9/2016,16014.38
2/10/2016,15914.74
2/11/2016,15660.18
2/12/2016,15973.84
2/15/2016,.
2/16/2016,16196.41
2/17/2016,16453.83
2/18/2016,16413.43
2/19/2016,16391.99
2/22/2016,16620.66
2/23/2016,16431.78
2/24/2016,16484.99
2/25/2016,16697.29
2/26/2016,16639.97
2/29/2016,16516.5
3/1/2016,16865.08
3/2/2016,16899.32
3/3/2016,16943.9
3/4/2016,17006.77
3/7/2016,17073.95
3/8/2016,16964.1
3/9/2016,17000.36
3/10/2016,16995.13
3/11/2016,17213.31
3/14/2016,17229.13
3/15/2016,17251.53
3/16/2016,17325.76
3/17/2016,17481.49
3/18/2016,17602.3
3/21/2016,17623.87
3/22/2016,17582.57
3/23/2016,17502.59
3/24/2016,17515.73
3/25/2016,.
3/28/2016,17535.39
3/29/2016,17633.11
3/30/2016,17716.66
3/31/2016,17685.09
4/1/2016,17792.75
4/4/2016,17737
4/5/2016,17603.32
4/6/2016,17716.05
4/7/2016,17541.96
4/8/2016,17576.96
4/11/2016,17556.41
4/12/2016,17721.25
4/13/2016,17908.28
4/14/2016,17926.43
4/15/2016,17897.46
4/18/2016,18004.16
4/19/2016,18053.6
4/20/2016,18096.27
4/21/2016,17982.52
4/22/2016,18003.75
4/25/2016,17977.24
4/26/2016,17990.32
4/27/2016,18041.55
4/28/2016,17830.76
4/29/2016,17773.64
5/2/2016,17891.16
5/3/2016,17750.91
5/4/2016,17651.26
5/5/2016,17660.71
5/6/2016,17740.63
5/9/2016,17705.91
5/10/2016,17928.35
5/11/2016,17711.12
5/12/2016,17720.5
5/13/2016,17535.32
5/16/2016,17710.71
5/17/2016,17529.98
5/18/2016,17526.62
5/19/2016,17435.4
5/20/2016,17500.94
5/23/2016,17492.93
5/24/2016,17706.05
5/25/2016,17851.51
5/26/2016,17828.29
5/27/2016,17873.22
5/30/2016,.
5/31/2016,17787.2
6/1/2016,17789.67
6/2/2016,17838.56
6/3/2016,17807.06
6/6/2016,17920.33
6/7/2016,17938.28
6/8/2016,18005.05
6/9/2016,17985.19
6/10/2016,17865.34
6/13/2016,17732.48
6/14/2016,17674.82
6/15/2016,17640.17
6/16/2016,17733.1
6/17/2016,17675.16
6/20/2016,17804.87
6/21/2016,17829.73
6/22/2016,17780.83
6/23/2016,18011.07
6/24/2016,17400.75
6/27/2016,17140.24
6/28/2016,17409.72
6/29/2016,17694.68
6/30/2016,17929.99
7/1/2016,17949.37
7/4/2016,.
7/5/2016,17840.62
7/6/2016,17918.62
7/7/2016,17895.88
7/8/2016,18146.74
7/11/2016,18226.93
7/12/2016,18347.67
7/13/2016,18372.12
7/14/2016,18506.41
7/15/2016,18516.55
7/18/2016,18533.05
7/19/2016,18559.01
7/20/2016,18595.03
7/21/2016,18517.23
7/22/2016,18570.85
7/25/2016,18493.06
7/26/2016,18473.75
7/27/2016,18472.17
7/28/2016,18456.35
7/29/2016,18432.24
8/1/2016,18404.51
8/2/2016,18313.77
8/3/2016,18355
8/4/2016,18352.05
8/5/2016,18543.53
8/8/2016,18529.29
8/9/2016,18533.05
8/10/2016,18495.66
8/11/2016,18613.52
8/12/2016,18576.47
8/15/2016,18636.05
8/16/2016,18552.02
8/17/2016,18573.94
8/18/2016,18597.7
8/19/2016,18552.57
8/22/2016,18529.42
8/23/2016,18547.3
8/24/2016,18481.48
8/25/2016,18448.41
8/26/2016,18395.4
8/29/2016,18502.99
8/30/2016,18454.3
8/31/2016,18400.88
9/1/2016,18419.3
9/2/2016,18491.96
9/5/2016,.
9/6/2016,18538.12
9/7/2016,18526.14
9/8/2016,18479.91
9/9/2016,18085.45
9/12/2016,18325.07
9/13/2016,18066.75
9/14/2016,18034.77
9/15/2016,18212.48
9/16/2016,18123.8
9/19/2016,18120.17
9/20/2016,18129.96
9/21/2016,18293.7
9/22/2016,18392.46
9/23/2016,18261.45
9/26/2016,18094.83
9/27/2016,18228.3
9/28/2016,18339.24
9/29/2016,18143.45
9/30/2016,18308.15
10/3/2016,18253.85
10/4/2016,18168.45
10/5/2016,18281.03
10/6/2016,18268.5
10/7/2016,18240.49
10/10/2016,18329.04
10/11/2016,18128.66
10/12/2016,18144.2
10/13/2016,18098.94
10/14/2016,18138.38
10/17/2016,18086.4
10/18/2016,18161.94
10/19/2016,18202.62
10/20/2016,18162.35
10/21/2016,18145.71
10/24/2016,18223.03
10/25/2016,18169.27
10/26/2016,18199.33
10/27/2016,18169.68
10/28/2016,18161.19
10/31/2016,18142.42
11/1/2016,18037.1
11/2/2016,17959.64
11/3/2016,17930.67
11/4/2016,17888.28
11/7/2016,18259.6
11/8/2016,18332.74
11/9/2016,18589.69
11/10/2016,18807.88
11/11/2016,18847.66
11/14/2016,18868.69
11/15/2016,18923.06
11/16/2016,18868.14
11/17/2016,18903.82
11/18/2016,18867.93
11/21/2016,18956.69
11/22/2016,19023.87
11/23/2016,19083.18
11/24/2016,.
11/25/2016,19152.14
11/28/2016,19097.9
11/29/2016,19121.6
11/30/2016,19123.58
12/1/2016,19191.93
12/2/2016,19170.42
12/5/2016,19216.24
12/6/2016,19251.78
12/7/2016,19549.62
12/8/2016,19614.81
12/9/2016,19756.85
12/12/2016,19796.43
12/13/2016,19911.21
12/14/2016,19792.53
12/15/2016,19852.24
12/16/2016,19843.41
12/19/2016,19883.06
12/20/2016,19974.62
12/21/2016,19941.96
12/22/2016,19918.88
12/23/2016,19933.81
12/26/2016,.
12/27/2016,19945.04
12/28/2016,19833.68
12/29/2016,19819.78
12/30/2016,19762.6
1/2/2017,.
1/3/2017,19881.76
1/4/2017,19942.16
1/5/2017,19899.29
1/6/2017,19963.8
1/9/2017,19887.38
1/10/2017,19855.53
1/11/2017,19954.28
1/12/2017,19891
1/13/2017,19885.73
1/16/2017,.
1/17/2017,19826.77
1/18/2017,19804.72
1/19/2017,19732.4
1/20/2017,19827.25
1/23/2017,19799.85
1/24/2017,19912.71
1/25/2017,20068.51
1/26/2017,20100.91
1/27/2017,20093.78
1/30/2017,19971.13
1/31/2017,19864.09
2/1/2017,19890.94
2/2/2017,19884.91
2/3/2017,20071.46
2/6/2017,20052.42
2/7/2017,20090.29
2/8/2017,20054.34
2/9/2017,20172.4
2/10/2017,20269.37
2/13/2017,20412.16
2/14/2017,20504.41
2/15/2017,20611.86
2/16/2017,20619.77
2/17/2017,20624.05
2/20/2017,.
2/21/2017,20743
2/22/2017,20775.6
2/23/2017,20810.32
2/24/2017,20821.76
2/27/2017,20837.44
2/28/2017,20812.24
3/1/2017,21115.55
3/2/2017,21002.97
3/3/2017,21005.71
3/6/2017,20954.34
3/7/2017,20924.76
3/8/2017,20855.73
3/9/2017,20858.19
3/10/2017,20902.98
3/13/2017,20881.48
3/14/2017,20837.37
3/15/2017,20950.1
3/16/2017,20934.55
3/17/2017,20914.62
3/20/2017,20905.86
3/21/2017,20668.01
3/22/2017,20661.3
3/23/2017,20656.58
3/24/2017,20596.72
3/27/2017,20550.98
3/28/2017,20701.5
3/29/2017,20659.32
